job_id,job_title,employer_name,job_city,job_state,job_country,job_is_remote,job_employment_type,job_min_salary,job_max_salary,job_salary_currency,job_salary_period,job_description,job_apply_link,job_posted_at_datetime,job_publisher,job_required_experience,job_required_skills,job_required_education,job_benefits,job_google_link,job_offer_expiration_datetime
hU3CO33X5Op1MRq5AAAAAA==,Angular Developer (with Python),Astek,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Desde Astek estamos buscando un/a Desarrollador front con Angular para cooperar con nuestro partner líder en el sector energía. 💪 Tu misión, si la aceptas… • Diseñar y codificar soluciones técnicas en la interfaz gráfica de usuario. • Colaborar en la definición y arquitectura de la solución. • Gestión de requisitos y desarrollo • Colaborar con los diferentes stakeholders y miembros del equipo (Backend, front, QA, PO...) 👀 ¿Quién eres? • Alguien con al menos 4 años de experiencia trabajando en de...",https://www.jobijoba.es/oferta-empleo/69/97c0ebe70e2a282390e66c04a5f3e216?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DhU3CO33X5Op1MRq5AAAAAA%3D%3D&vssid=jobs-detail-viewer,
aPJQEJgCLujjPI_xAAAAAA==,Data Science + Python Midior,SG Tech,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Descripción En **ServiguideTECH **precisamos incorporar un perfil de **Data Science + Python,** para desarrollos en importante cliente del sector bancario. • *Ofrecemos**: - Contrato indefinido. - Participación en proyectos y tecnologías innovadores. - Evolución profesional y promoción personalizada. - Proyectos indefinidos. - Modelo de trabajo **híbrido en Madrid**: - Horario: L-J 09:00-19:00 V 09:00-15:00. Verano intensiva • *Requisitos**: - Experiência 3 años como Data Scientist - Formación r...",https://es.jobrapido.com/jobpreview/5677767547064156160?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DaPJQEJgCLujjPI_xAAAAAA%3D%3D&vssid=jobs-detail-viewer,
MEoGa854bZbP_D4WAAAAAA==,Python AI developer,Virtusa,Madrid,Madrid,ES,False,A tiempo completo,,,,,"JD: About the Role We arre looking for a Software Developer with strong experience in building VS Code extensions, integrating AI agents using tools like Langchain and LangGraph, and a passion for enhancing the Software Development Lifecycle (SDLC) through cutting-edge technologies. You will be part of a high-impact team, building tools that live where developers work from smart coding environments to agent-driven pipelines and help shape the future of intelligent development. What You will Be D...",https://es.indeed.com/viewjob?jk=aa7d5ff6b850ae8a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Indeed,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DMEoGa854bZbP_D4WAAAAAA%3D%3D&vssid=jobs-detail-viewer,
EGaauai94MpKSC5eAAAAAA==,Python Developer + Linux & Wintel,Minsait,Madrid,Madrid,ES,False,A tiempo completo,,,,,"En Minsait Cyber, sabemos que el talento es la clave para impulsar el cambio y construir un futuro digital más seguro. Si estás listo para enfrentarte a nuevos desafíos, crecer profesionalmente y aportar tu experiencia a proyectos que realmente marcan la diferencia, este es el lugar para ti. Únete a nuestro equipo como Python Developer + Linux & Wintel y forma parte de una transformación constante, donde tu impacto será fundamental en un entorno innovador y en evolución. Ser parte de nuestro equ...",https://careers.minsait.com/Minsait/job/Madrid-Python-Developer-%2B-Linux-&-Wintel/1169109455/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Minsait,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DEGaauai94MpKSC5eAAAAAA%3D%3D&vssid=jobs-detail-viewer,
ITDp9W1cIzMBSKBWAAAAAA==,Backend Developer - Python /Flask,AD4 Octógono,Madrid,Madrid,ES,False,A tiempo completo,,,,,"En AD4 Octógono estamos contratando. Buscamos un Backend Developer con experiencia en Flask y un fuerte enfoque en entornos cloud-native. ¿Te apasiona desarrollar servicios backend robustos y escalables? ¿Tienes experiencia trabajando con AWS, Kubernetes y arquitecturas de microservicios? Si además te manejas bien en inglés y estás ubicado en Europa, ¡queremos conocerte! Requisitos imprescindibles: ✔️ +4 años de experiencia en desarrollo software con lenguajes orientados a objetos como Python, J...",https://es.linkedin.com/jobs/view/backend-developer-python-flask-at-ad4-oct%C3%B3gono-4292645235?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DITDp9W1cIzMBSKBWAAAAAA%3D%3D&vssid=jobs-detail-viewer,
8xgBsqw8Bmrenqt4AAAAAA==,Data Analyst - Python/ Power BI/ SQL,Meta Engineering,Las Rozas de Madrid,Madrid,ES,False,A tiempo completo,,,,,"Meta Engineering acumula más de 40 años de historia en la prestación de servicios de consultoría en ingeniería en todo tipo de infraestructuras. Nuestro especial compromiso con el medio ambiente, nos ha convertido en un referente en movilidad sostenible y en generación de energías renovables. Ofrecemos servicios de ingeniería totalmente personalizados a lo largo de todo el ciclo de vida del proyecto, que van desde el diseño preliminar y los estudios de viabilidad hasta el diseño de detalle, impl...",https://es.jooble.org/rjdp/755786720173116943?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D8xgBsqw8Bmrenqt4AAAAAA%3D%3D&vssid=jobs-detail-viewer,
_mwzpDfpdmzXK5sNAAAAAA==,"Backend developer con experiencia en c, python, linux",Iic,Madrid,Madrid,ES,False,A tiempo completo y Contratista,,,,,"Te incorporarás al equipo de Lynx, producto basado en Machine Learning y Programación de Alto Rendimiento para la detección del fraude bancario en tiempo real. Funciones: · Participación en el desarrollo y mantenimiento de una aplicación innovadora en el área de detección de fraude en entornos financieros. · Análisis del rendimiento de la aplicación. · Análisis de requerimientos (colaborando con el cliente en su definición) y participación en el diseño de soluciones. · Elaboración de casos de pr...",https://www.insertia.net/ver-oferta/4d6f5ccb-a8b2-483f-ac11-4b4affb3da91?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Insertia.net,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D_mwzpDfpdmzXK5sNAAAAAA%3D%3D&vssid=jobs-detail-viewer,
dW53xr8ytPwrr46yAAAAAA==,Node & Python Developer,GFT,Madrid,Madrid,ES,False,A tiempo completo,,,,,GFT es una compaa pionera en transformacin digital. Diseamos soluciones de negocio centradas en la inteligencia artificial (AI-Centric) modernizamos infraestructuras de TI y desarrollamos sistemas core de nueva generacin para lderes del sector bancario asegurador e industrial. En estrecha colaboracin con nuestros clientes desafiamos los lmites para ayudarles a alcanzar todo su potencial. Qu estamos buscando Actualmente tenemos un puesto vacante para un/a SeniorPython Developerque quiera desaroll...,https://www.drjobpro.com/job/view/MBDAA25D67TWZPR?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Dr. Job,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DdW53xr8ytPwrr46yAAAAAA%3D%3D&vssid=jobs-detail-viewer,
FzcXiKQMktpA6UhwAAAAAA==,Sr Python Developer,InfoserNT,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Infoser NT is looking for a highly qualified Sr Python Developer to join our innovative team. The ideal candidate will be responsible for developing Python-based solutions to deploy and manage cloud components (Azure Services), implementing API infrastructure for client self-service management, and configuring pipelines for continuous testing, integration, and deployment. Key Responsibilities:Design a reliable, robust, and scalable DevOps platform to support cloud systems and services.Develop an...",https://www.trabajas.es/oferta/sr-python-developer-845107cd1016f26/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Trabajas.es - Ofertas De Trabajo,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DFzcXiKQMktpA6UhwAAAAAA%3D%3D&vssid=jobs-detail-viewer,
HyEtF1hsfRk7NimwAAAAAA==,Desarrollador/a Python/Devops Con Inglés (Teletrabajo),knowmad mood,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Si cuentas con una experiencia consolidada como Python Developer con experiencia con SQL Alchemy y tienes nivel alto de inglés a nivel conversación (mínimo B2) , y tu objetivo es seguir creciendo profesionalmente junto a un equipo de alto nivel ¡esta es tu oportunidad! ¿Qué puede ofrecerte knowmad mood (anteriormente atSistemas)? Teletrabajo : 100% Remoto Flexibilidad horaria : horario de 8:30h a 18h (flexible) viernes de 8h a 15h y verano (Julio y Agosto) de 8h a 15h Plan de Carrera: Todos nues...",https://es.jooble.org/rjdp/6118592376831831113?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DHyEtF1hsfRk7NimwAAAAAA%3D%3D&vssid=jobs-detail-viewer,
